search_id,coordinates_search,Unmet Demand
02927832-B770-4E50-902E-D9C0197CB73A,"55.669500243439423,12.524075179667451",1
029F4CE7-9AFC-440C-84B3-5BC7CD5B4443,"55.672667544499312,12.597496724019249",1
02AB143F-98EA-446C-BD0D-35DE159207E9,"55.666381004207118,12.565592971664429",1
02BC6F91-6714-4914-8DB0-FD2CA3094CB2,"55.669354267090817,12.57214671066802",1
02CBD056-9782-4FC7-9B58-EE4B71BF9B5E,"55.685148334830153,12.57825954130503",1
02E55BD7-C8F1-4F50-A327-238178B22C08,"55.672888794085388,12.600363655007129",1
02E5ACBA-E743-475E-85B4-5CEBF223FBD2,"55.668532172722522,12.582696559785903",1
02E7C931-18A2-4ED7-95FB-5E91DDB1AE80,"55.670919034239184,12.546429789182231",1
02F6512F-DAA7-4FE6-85F6-8235DF0438CF,"55.729229940380407,12.563981970731552",1
02F793E5-54F0-4243-A5FA-511C8309DDCA,"55.710914235628422,12.539979565989229",1
02F95A94-7FC8-46BA-88D9-0C9AB3C7B016,"55.592113179206457,12.670517591771359",1
02bf4e4d-3406-4629-972f-46e8a2a43e69,"55.6865451,12.6064932",1
02c45d72-74d6-48f6-893d-de8671b0290d,"55.6877602,12.5930771",1
02c95edf-9fe1-4092-906f-6766abff736e,"55.6695186,12.5718689",1
02d10e42-ddd1-4006-8b7b-ba76b811912a,"55.6678994,12.5238842",1
02e37e47-15a1-41ac-8f76-85eccf3f38bc,"55.6682377,12.6006426",1
030639A1-FF56-448D-991C-FCA42E090D78,"55.679791551078942,12.591347294594019",1
0306DC95-ABA1-4BD3-BE4B-F18C8EDB905F,"55.66092202195204,12.64048223498663",1
0310BC20-5961-43AA-91E7-4111E3F96D5E,"55.669737268603143,12.571195680302896",1
03167620-CDD5-47A9-8F11-41D8D279D5F2,"55.672939469603683,12.599762214337879",1
03198b38-63e9-43be-8280-dc75904e2bd8,"55.6871774,12.5733845",1
031fcc0a-36a8-4800-835e-0221778035cc,"55.6631996,12.5572849",1
03245D23-26E3-4E3C-9E80-6A0A859C3BBE,"55.673585822857611,12.601246358838489",1
0326a568-9f18-41b2-a101-a31952027c3e,"55.6906514,12.6183577",1
03275CCF-BC76-4A76-86A8-6697D74DED34,"55.689992227295058,12.615744815656029",1
0328971D-4677-4A0E-9222-1DF18D054AE7,"55.65506369219878,12.54268427219731",1
032AC880-5534-47B6-A369-DAF8044838C0,"55.69527118133837,12.612222117012616",1
032ACFCB-EFCA-4AE0-B981-8FC4CB0E849D,"55.701908080752922,12.51259608600553",1
